species,n_collections
Psoralea verrucosa,96
Syncarpha gnaphaloides,96
Tetraria fasciata,96
Babiana patersoniae,95
Cliffortia ilicifolia,95
Commelina africana,95
Disa comosa,95
Erica laeta,95
Erica leucanthera,95
Gladiolus buckerveldii,95
Muraltia squarrosa,95
Podocarpus latifolius,95
Relhania pungens,95
Tetraria involucrata,95
Thesium carinatum,95
Virgilia divaricata,95
Acmadenia mundiana,94
Arctotis aspera,94
Aspalathus microphylla,94
Babiana mucronata,94
Cliffortia stricta,94
Crotalaria excisa,94
Erica chamissonis,94
Erica cristata,94
Erica monsoniana,94
Felicia dubia,94
Hymenolepis incisa,94
Indigofera flabellata,94
Lampranthus haworthii,94
Leucadendron elimense,94
Liparia hirsuta,94
Othonna amplexifolia,94
Rhynchosia capensis,94
Trachyandra muricata,94
Vulpia myuros,94
Watsonia angusta,94
Agathosma apiculata,93
Aristea zeyheri,93
Cheilanthes contracta,93
Cyrtanthus angustifolius,93
Erica lasciva,93
Eucalyptus marginata,93
Nemesia anisocarpa,93
Otholobium obliquum,93
Othonna leptodactyla,93
Paranomus dispersus,93
Paranomus dregei,93
Phaenocoma prolifera,93
Podalyria sericea,93
Protea susannae,93
Rhoicissus kougabergensis,93
Serruria millefolia,93
Spatalla caudata,93
Brunia microphylla,92
Corycium carnosum,92
Crinum asiaticum,92
Diospyros pubescens,92
Erica botryoides,92
Erica taxifolia,92
Felicia australis,92
Gnidia juniperifolia,92
Haworthia viscosa,92
Lapeirousia corymbosa,92
Mesembryanthemum nodiflorum,92
Pelargonium rapaceum,92
Restio gossypinus,92
Roepera morgsana,92
Sideroxylon inerme,92
Thamnochortus erectus,92
Thesium confusum,92
Aristida junciformis,91
Astroloba foliolosa,91
Atriplex lindleyi,91
Brabejum stellatifolium,91
Capeochloa arundinacea,91
Cysticapnos vesicaria,91
Erica diaphana,91
Erica speciosa,91
Hypoxis floccosa,91
Lebeckia plukenetiana,91
Leucadendron cinereum,91
Leucadendron corymbosum,91
Lotononis pungens,91
Mesembryanthemum dinteri,91
Oncosiphon grandiflorum,91
Oncosiphon suffruticosum,91
Otholobium hirtum,91
Pelargonium magenteum,91
Polypogon tenuis,91
Rubus apetalus,91
Spergularia media,91
Strumaria spiralis,91
Agathosma cerefolium,90
Agathosma collina,90
Aspalathus submissa,90
Avonia ustulata,90
Cliffortia triloba,90
Erica bicolor,90
Erica palliiflora,90
Lapeirousia jacquinii,90
Lessertia diffusa,90
Leucadendron procerum,90
Myrovernix gnaphaloides,90
Pelargonium fulgidum,90
Rhodocoma gigantea,90
Satyrium acuminatum,90
Struthiola dodecandra,90
Capeochloa cincta,89
Erica areolata,89
Erica glutinosa,89
Eriocephalus ericoides,89
Hypodiscus laevigatus,89
Indigofera verrucosa,89
Jordaaniella dubia,89
Pelargonium grossularioides,89
Podalyria hirsuta,89
Selago glutinosa,89
Thesium lineatum,89
Chrysitrix capensis,88
Cliffortia rigida,88
Ehrharta barbinodis,88
Erica distorta,88
Erica macowanii,88
Glottiphyllum depressum,88
Lotononis prostrata,88
Macrostylis villosa,88
Phylica pinea,88
Restio eleocharis,88
Restio virgeus,88
Romulea membranacea,88
Tripteris oppositifolia,88
Cheilanthes capensis,87
Erica cruenta,87
Felicia echinata,87
Ficinia capitella,87
Gasteria carinata,87
Gnidia squarrosa,87
Haemanthus pubescens,87
Lampranthus uniflorus,87
Metalasia trivialis,87
Myosotis discolor,87
Pauridia longituba,87
Protea nana,87
Psoralea aculeata,87
Rhoicissus digitata,87
Ruschiella lunulata,87
Thamnochortus gracilis,87
Vellereophyton dealbatum,87
Wurmbea punctata,87
Amellus microglossus,86
Aspalathus ternata,86
Cotula duckittiae,86
Cyperus thunbergii,86
Disa bifida,86
Ehrharta triandra,86
Eragrostis obtusa,86
Erica hirtiflora,86
Erica sphaerocephala,86
Haworthia coarctata,86
Helichrysum leontonyx,86
Heliophila laciniata,86
Lagurus ovatus,86
Limeum africanum,86
Oscularia lunata,86
Pelargonium betulinum,86
Ursinia nudicaulis,86
Viscum capense,86
Wahlenbergia annularis,86
Agathosma virgata,85
Crassula rupestris,85
Dimorphotheca acutifolia,85
Elegia spathacea,85
Erica unicolor,85
Felicia namaquana,85
Ficinia ramosissima,85
Hermannia flammula,85
Juncus exsertus,85
Lachenalia pallida,85
Mesembryanthemum subnodosum,85
Pelargonium abrotanifolium,85
Pelargonium dipetalum,85
Prismatocarpus fruticosus,85
Restio calcicola,85
Ruschia brevibracteata,85
Ruschia intricata,85
Satyrium ligulatum,85
Searsia angustifolia,85
Selago paniculata,85
Askidiosperma paniculatum,84
Bobartia gladiata,84
Erica viridiflora,84
Forsskaolea candida,84
Gethyllis villosa,84
Helichrysum helianthemifolium,84
Indigofera alopecuroides,84
Indigofera glomerata,84
Lapeirousia silenoides,84
Macledium spinosum,84
Melilotus indicus,84
Osteospermum junceum,84
Psoralea monophylla,84
Pteronia fasciculata,84
Pterygodium caffrum,84
Trachyandra flexifolia,84
Tritonia undulata,84
Tritoniopsis triticea,84
Ursinia pinnata,84
Ursinia scariosa,84
Watsonia fourcadei,84
Anginon difforme,83
Astroloba rubriflora,83
Crossyne flava,83
Danthoniopsis ramosa,83
Didelta spinosa,83
Elegia fistulosa,83
