region,HDS_cell_no,richness,avg_QDS_richness,avg_QDS_turnover,rank
SWAFR,cell_281,232,664.75,0.6917230100998696,genus
SWAFR,cell_282,91,118.33333333333333,0.7899475283070975,genus
SWAFR,cell_283,38,56.5,0.8421052631578947,genus
SWAFR,cell_284,9,26,NaN,genus
SWAFR,cell_307,406,3603.5,0.4082766061743025,genus
SWAFR,cell_308,305,1264.25,0.5967494818036,genus
SWAFR,cell_309,311,960.25,0.6184759724310637,genus
SWAFR,cell_310,299,910.75,0.5661802804556082,genus
SWAFR,cell_311,214,461.25,0.5974501596705031,genus
SWAFR,cell_312,191,391.3333333333333,0.6904486785907205,genus
SWAFR,cell_313,88,165,0.8636363636363636,genus
SWAFR,cell_337,282,670.6666666666666,0.6742592259585606,genus
SWAFR,cell_338,305,1281.75,0.5304188700330108,genus
SWAFR,cell_339,345,1054.5,0.6398171230918461,genus
SWAFR,cell_340,370,2126.75,0.5759473837397445,genus
SWAFR,cell_341,288,1013.75,0.6419925726987998,genus
SWAFR,cell_342,254,429,0.6755611762944017,genus
SWAFR,cell_343,218,378.25,0.649362021309431,genus
SWAFR,cell_344,204,680,0.6421568627450981,genus
SWAFR,cell_368,452,1727.5,0.5050111128930475,genus
SWAFR,cell_369,399,1739.5,0.4935609670584097,genus
SWAFR,cell_370,331,858.5,0.5065385054213282,genus
SWAFR,cell_371,319,957.25,0.6044240295429381,genus
SWAFR,cell_372,270,630.25,0.5796872180318879,genus
SWAFR,cell_373,345,1012,0.6187068355863709,genus
SWAFR,cell_374,250,737.25,0.6099258215802043,genus
SWAFR,cell_375,171,535.5,0.6432748538011696,genus
SWAFR,cell_398,742,8948.5,0.5283018867924528,genus
SWAFR,cell_399,633,5503,0.5192886907738342,genus
SWAFR,cell_400,473,1708.75,0.5527144954251338,genus
SWAFR,cell_401,369,1217.75,0.586013847215977,genus
SWAFR,cell_402,344,919.25,0.6059766748819745,genus
SWAFR,cell_403,281,627.5,0.6179002252063195,genus
SWAFR,cell_404,249,568.75,0.646782291814306,genus
SWAFR,cell_405,155,209.75,0.7148868462040383,genus
SWAFR,cell_406,78,172.5,0.8205128205128205,genus
SWAFR,cell_428,628,5959,0.43312101910828027,genus
SWAFR,cell_429,553,4656.5,0.49283377108854287,genus
SWAFR,cell_430,385,1379.25,0.5671153562979774,genus
SWAFR,cell_431,324,721.75,0.6111243926649732,genus
SWAFR,cell_432,259,602.5,0.6114043787230365,genus
