region,hdgc,dgc,lat,lon,n_collections,HDS_richness,mean_QDS_richness
GCFR,E023S27A,E023S27,-27.25,23.25,NA,NA,NA
GCFR,E023S34D,E023S34,-34.75,23.75,NA,NA,NA
GCFR,E023S34B,E023S34,-34.25,23.75,NA,NA,NA
GCFR,E023S32D,E023S32,-32.75,23.75,NA,NA,NA
GCFR,E023S32B,E023S32,-32.25,23.75,NA,NA,NA
GCFR,E023S31D,E023S31,-31.75,23.75,NA,NA,NA
GCFR,E023S31B,E023S31,-31.25,23.75,NA,NA,NA
GCFR,E023S30D,E023S30,-30.75,23.75,NA,NA,NA
GCFR,E023S30B,E023S30,-30.25,23.75,NA,NA,NA
GCFR,E023S29D,E023S29,-29.75,23.75,NA,NA,NA
GCFR,E023S29B,E023S29,-29.25,23.75,NA,NA,NA
GCFR,E023S28D,E023S28,-28.75,23.75,NA,NA,NA
GCFR,E023S28B,E023S28,-28.25,23.75,NA,NA,NA
GCFR,E023S27D,E023S27,-27.75,23.75,NA,NA,NA
GCFR,E023S27B,E023S27,-27.25,23.75,NA,NA,NA
GCFR,E024S34C,E024S34,-34.75,24.25,NA,NA,NA
GCFR,E024S34A,E024S34,-34.25,24.25,NA,NA,NA
GCFR,E024S33A,E024S33,-33.25,24.25,NA,NA,NA
GCFR,E024S32C,E024S32,-32.75,24.25,NA,NA,NA
GCFR,E024S32A,E024S32,-32.25,24.25,NA,NA,NA
