resolution,region,variable,roughness,z_roughness
0.05º,Cape,CEC,0.5373739004135132,-0.517001923224615
0.05º,Cape,CEC,0.5245965321858724,-0.5382002806529304
0.05º,Cape,CEC,0.44507384300231934,-0.6701328006320504
0.05º,Cape,CEC,0.7905418078104655,-0.09698242509591701
0.05º,Cape,CEC,1.2328352398342557,0.6368067318882362
0.05º,Cape,CEC,1.154097557067871,0.5061765807786821
0.05º,Cape,CEC,0.7154898643493652,-0.22149773175636234
0.05º,Cape,CEC,0.8393185138702393,-0.01605918403331838
0.05º,Cape,CEC,0.695833683013916,-0.25410841888700714
0.05º,Cape,CEC,0.33099725511338973,-0.8593921411463897
0.05º,Cape,CEC,1.4769646061791315,1.04183079273761
0.05º,Cape,CEC,0.4815551969740126,-0.6096082256817956
0.05º,Cape,CEC,0.4766981336805556,-0.6176663611219186
0.05º,Cape,CEC,1.7307208776474,1.462826419256719
0.05º,Cape,CEC,0.8186930550469292,-0.05027795588601446
0.05º,Cape,CEC,1.2674911287095811,0.6943027597311134
0.05º,Cape,CEC,1.0395444234212239,0.3161266246130545
0.05º,Cape,CEC,2.14872317843967,2.1563152520262237
0.05º,Cape,CEC,0.8151504198710123,-0.056155382705001575
0.05º,Cape,CEC,0.9917618632316589,0.23685272628810838
0.05º,Cape,CEC,0.33295806248982746,-0.8561390537442528
0.05º,Cape,CEC,1.4501751793755426,0.9973856586094667
0.05º,Cape,CEC,0.9848906099796295,0.22545293880277198
0.05º,Cape,CEC,1.3567997614542644,0.8424706989050407
0.05º,Cape,CEC,0.7032279968261719,-0.2418408451318543
0.05º,Cape,CEC,0.6562043295966254,-0.31985569825048765
0.05º,Cape,CEC,1.6217775344848633,1.2820834143866555
0.05º,Cape,CEC,2.2619020673963757,2.344085260583522
0.05º,Cape,CEC,0.08414173126220703,-1.2689390474045357
0.05º,Cape,CEC,1.2329025268554688,0.6369183647613403
0.05º,Cape,CEC,0.814295768737793,-0.05757329599322525
0.05º,Cape,CEC,1.4084685643513997,0.9281920878634685
0.05º,Cape,CEC,1.5771640141805012,1.208067127722755
0.05º,Cape,CEC,0.8004967371622721,-0.08046664916979816
0.05º,Cape,CEC,0.8464492559432983,-0.004228890306098818
0.05º,Cape,CEC,0.41671572791205513,-0.7171804750018234
0.05º,Cape,CEC,0.762330691019694,-0.14378622119291223
0.05º,Cape,CEC,0.9119815296596951,0.10449276008237696
0.05º,Cape,CEC,0.5486336814032661,-0.4983213265843001
0.05º,Cape,CEC,1.4624698956807454,1.0177832699230094
0.05º,Cape,CEC,1.2057376437717013,0.5918503279912656
0.05º,Cape,CEC,1.4724090364244249,1.0342728516789037
0.05º,Cape,CEC,0.7727231979370117,-0.12654447999201557
0.05º,Cape,CEC,1.0786698659261067,0.38103788802685457
0.05º,Cape,CEC,0.556254768371582,-0.48567752367681605
0.05º,Cape,CEC,1.309825685289171,0.764538120092884
0.05º,Cape,CEC,1.2097332212660048,0.5984792110560543
0.05º,Cape,CEC,0.7416960398356119,-0.17802024367827254
0.05º,Cape,CEC,0.5568437576293945,-0.4847003580675838
0.05º,Cape,CEC,0.9645326402452257,0.19167794607687144
0.05º,Cape,CEC,1.0690249337090387,0.3650364144161162
0.05º,Cape,CEC,0.845821327633328,-0.005270657946896313
0.05º,Cape,CEC,0.6410091188218858,-0.34506538959402305
0.05º,Cape,CEC,1.122675895690918,0.45404631443641413
0.05º,Cape,CEC,0.9613107045491537,0.1863325773530812
0.05º,Cape,CEC,0.4891488817003038,-0.5970098846026342
0.05º,Cape,CEC,1.3942934672037761,0.9046748211961134
0.05º,Cape,CEC,0.643604596455892,-0.3407593492888029
0.05º,Cape,CEC,1.790760146247016,1.5624348717043868
0.05º,Cape,CEC,0.7821723090277778,-0.11086788441198016
0.05º,Cape,CEC,1.1178317599826388,0.4460096265719111
0.05º,Cape,CEC,1.0804420047336154,0.38397796388479943
